surface_name	site_name	species_name	formation_energy	frequencies	other_parameters	reference	
13Cu	211	CO2	-0.66	[12, 12, 42.7, 54.4, 99.2, 609.0, 618.6, 1302.6, 2337.2]	[]	Ang	
13Cu	211	COOH	-0.85	[48.7, 91.8, 113.9, 215.8, 282.5, 371.6, 651.3, 683.6, 1074.1, 1240.7, 1451.7, 3471.7]	[]	Ang	
13Cu	211	CO	-0.99	[12, 82.1, 222.5, 254.7, 336.4, 2010.4]	[]	Ang	
13Cu	211	CHO	-0.54	[77.3, 157.4, 196.7, 278.2, 479.9, 684.9, 1285.1, 1468.0, 2734.0]	[]	Ang	
13Cu	211	CHOH	-0.14	[7.9, 96.9, 218.1, 269.0, 368.6, 444.3, 822.1, 1044.2, 1156.5, 1371.2, 2958.3, 3623.9]	[]	Ang	
13Cu	211	CH2OH	-1.16	[40.4, 83.5, 114.9, 218.7, 281.2, 450.3, 564.7, 802.1, 1079.3, 1144.2, 1234.1, 1405.7, 2930.9, 2997.1, 3680.9]	[]	Ang	
13Cu	211	CH3OH	-1.80	[12, 12, 44.7, 96.3, 119.7, 207.5, 405.8, 945.1, 1044.8, 1120.9, 1317.0, 1415.6, 1444.5, 1453.3, 2961.4, 3036.4, 3087.6, 3671.7]	[]	Ang	
13Cu	211	CH	-0.77	[26.9, 462.3, 492.9, 676.2, 681.7, 2991.4]	[]	Ang	
13Cu	211	CH2	-0.98	[175.2, 227.6, 371.8, 395.6, 478.0, 641.9, 1281.4, 2884.6, 2964.0]	[]	Ang	
13Cu	211	CH3	-2.3	[12, 36.6, 86.4, 447.6, 595.2, 609.3, 1069.6, 1380.0, 1396.2, 2940.1, 3036.3, 3044.4]	[]	Ang	
13Cu	211	CH4	-2.80	[12, 12, 12, 55.6, 62.1, 1286.5, 1289.3, 1290.1, 1507.2, 1509.0, 2954.0, 3070.0, 3071.7, 3072.9]	[]	Ang	
13Cu	211	H	-0.27	[354.2, 939.7, 1271.5]	[]	Ang	
13Cu	211	H2O	-0.26	[12, 43.1, 89.8, 193.1, 399.5, 454.5, 1582.5, 3639.8, 3751.2]	[]	Ang	
13Cu	211	COH	0.55	[12, 171.6, 316.6, 338.6, 504.2, 560.7, 1133.9, 1262.7, 3549.1]	[]	Ang	
13Cu	211	CH2O	-0.76	[57.0, 85.2, 141.9, 270.9, 341.8, 478.6, 868.6, 1149.4, 1212.5, 1454.2, 2847.5, 2922.1]	[]	Ang	
13Cu	211	CH3O	-1.77	[12, 38.1, 40.0, 104.5, 275.6, 349.1, 1016.8, 1110.8, 1131.6, 1413.7, 1439.8, 1442.7, 2893.7, 2953.5, 2970.0]	[]	Ang	
13Cu	211	O	0.62	[303.8, 361.4, 474.8]	[]	Ang	
13Cu	211	OH	-0.34	[78.8, 242.2, 391.2, 520.9, 649.0, 3703.8]	[]	Ang	
13Cu	211	HCOO	-1.85	[18.1, 71.3, 100.2, 261.2, 295.6, 328.1, 729.4, 986.6, 1291.7, 1326.2, 1520.8, 2922.6]	[]	Ang	
13Cu	211	C	0.62	[407.5, 482.7, 546.8]	[]	Ang	
13Cu	211	H2COO	-0.80	[116.7, 174.4, 243.2, 274.9, 334.9, 344.6, 571.0, 879.0, 964.8, 1070.4, 1188.2, 1320.9, 1445.3, 2866.3, 2901.8]	[]	Ang	
13Cu	211	H2COOH	-1.29	[40.1, 66.4, 80.4, 134.3, 224.0, 318.6, 384.9, 494.9, 641.0, 1063.3, 1069.0, 1191.6, 1243.1, 1337.5, 1476.9, 2831.6, 2880.4, 3655.6]	[]	Ang	
13Cu	211	HCOOH	-1.04	[12, 17.6, 98.1, 121.4, 202.9, 217.1, 645.0, 721.3, 973.1, 1127.1, 1280.6, 1345.0, 1628.5, 3008.6, 3092.6]	[]	Ang	
13Cu	211	H2CO-OH	-0.54	[12, 12, 49.6, 85.9, 115.5, 192.9, 217.9, 284.5, 354.7, 503.9, 580.3, 1057.1, 1214.5, 1453.8, 1594.4, 2870.3, 3001.0, 3724.1]	[]	Ang	
13Cu	211	HCO-OH	0.30	[12.0, 174.8, 209.9, 279.3, 389.5, 518.0, 819.4, 948.1, 1731.9]	[]	Ang	
