,solver,reaction,success,failure
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,0,1
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
0,numbers_free_xstar,CO_hydrogenation,2,0
0,coverages,CO_hydrogenation,0,1
