,solver,reaction,success,failure,total
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,1,0,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,1,0,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,1,0,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,1,0,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,1,0,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,1,0,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,1,0,1
0,coverages,methanol_synthesis,0,1,1
0,numbers_free_xstar,methanol_synthesis,0,1,1
