,solver,reaction,success,failure,total
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,1,0,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,1,0,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,1,0,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,0,1,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,1,0,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,1,0,1
0,coverages,CO_hydrogenation,0,1,1
0,numbers_free_xstar,CO_hydrogenation,1,0,1
0,coverages,CO_hydrogenation,0,1,1
