surface_name	site_name	species_name	formation_energy	frequencies	other_parameters	reference	
None	gas	CH3CHO	-2.75	[3005.0, 2917.0, 2822.0, 1743.0, 1441.0, 1400.0, 1352.0, 1113.0, 919.0, 509.0, 2967.0, 1420.0, 867.0, 763.0, 150.0]	[]	Calculated	
None	gas	CH2O	-0.28	[1137.6, 1242.0, 1480.1, 1771.7, 2904.5, 2914.0]	[]	Calculated	
None	gas	CO	0.0	[2170.0]	[]	Calculated	
None	gas	CH3OH	-1.55	[3739, 3077, 3013, 2975, 1496, 1487, 1459, 1365, 1160, 1066, 1028, 397]	[]	Calculated	
None	gas	H2O	0.0	[3657.0, 1595.0, 3756.0]	[]	Calculated	
None	gas	H2	0.0	[4401.0]	[]	Calculated	
None	gas	CH3CH2OH	-3.74	[3755, 3089, 3083, 2991, 2982, 2932, 1508, 1484, 1470, 1421, 1389, 1270, 1244, 1154, 1061, 985, 876, 801, 379, 249, 212]	[]	Calculated	
None	gas	CH4	-2.83	[2917.0, 1534.0, 1534.0, 3019.0, 3019.0, 3019.0, 1306.0, 1306.0, 1306.0]	[]	Calculated	
Rh	111	C	-0.9	[]	[]	Calculated AJ	
Rh	111	CHO	-1.08	[12.0, 72.0, 206.0, 336.0, 452.0, 660.0, 1238.0, 1262.0, 2832.0]	[]	Calculated AJ	
Rh	111	H	-0.36	[463.0, 716.0, 982.0]	[]	Calculated AJ	
Rh	111	CH3CHOH	-3.63	[12.0, 71.0, 162.0, 228.0, 268.0, 318.0, 446.0, 541.0, 664.0, 773.0, 890.0, 1022.0, 1089.0, 1141.0, 1236.0, 1347.0, 1375.0, 1462.0, 1489.0, 2927.0, 2973.0, 3024.0, 3060.0, 3629.0]	[]	Calculated AJ	
Rh	111	CH2O	-0.97	[143.0, 162.0, 291.0, 324.0, 466.0, 640.0, 898.0, 1103.0, 1153.0, 1440.0, 2966.0, 3044.0]	[]	Calculated AJ	
Ir	111	CH2O	-0.82	[143.0, 162.0, 291.0, 324.0, 466.0, 640.0, 898.0, 1103.0, 1153.0, 1440.0, 2966.0, 3044.0]	[]	Calculated AJ	
Rh	111	CHCO	-2.47	[12.0, 195.0, 261.0, 342.0, 401.0, 522.0, 572.0, 755.0, 933.0, 1090.0, 1712.0, 3004.0]	[]	Calculated AJ	
Pt	111	CH3CH2O	-2.96	[12.0, 71.5, 152.5, 199.5, 230.3, 270.2, 442.2, 553.6, 750.9, 874.8, 956.8, 1092.4, 1150.6, 1255.2, 1298.9, 1432.3, 1461.5, 1479.0, 1712.7, 2895.6, 3012.7, 3048.6, 3063.7, 3087.9]	[]	Calculated AJ	
Rh	111	CO	-1.71	[60.0, 231.0, 256.0, 303.0, 470.0, 1747.0]	[]	Calculated AJ	
Rh	111	CH3CHO	-3.37	[12.0, 61.0, 93.0, 134.0, 227.0, 361.0, 430.0, 516.0, 737.0, 928.0, 1037.0, 1062.0, 1128.0, 1287.0, 1321.0, 1408.0, 1443.0, 2933.0, 2974.0, 3000.0, 3063.0]	[]	Calculated AJ	
Ir	111	CH3O	-1.15	[34.0, 73.0, 158.0, 273.0, 317.0, 360.0, 971.0, 1137.0, 1140.0, 1441.0, 1462.0, 1463.0, 2982.0, 3053.0, 3056.0]	[]	Calculated AJ	
Cu	111	CH3CH2O	-3.72	[12.0, 71.5, 152.5, 199.5, 230.3, 270.2, 442.2, 553.6, 750.9, 874.8, 956.8, 1092.4, 1150.6, 1255.2, 1298.9, 1432.3, 1461.5, 1479.0, 1712.7, 2895.6, 3012.7, 3048.6, 3063.7, 3087.9]	[]	Calculated AJ	
Ag	111	CH3CH2O	-3.16	[12.0, 71.5, 152.5, 199.5, 230.3, 270.2, 442.2, 553.6, 750.9, 874.8, 956.8, 1092.4, 1150.6, 1255.2, 1298.9, 1432.3, 1461.5, 1479.0, 1712.7, 2895.6, 3012.7, 3048.6, 3063.7, 3087.9]	[]	Calculated AJ	
Rh	111	OH	0.25	[12.0, 341.0, 396.0, 670.0, 718.0, 3682.0]	[]	Calculated AJ	
Rh	111	CH	-1.72	[413.0, 437.0, 487.0, 710.0, 735.0, 3045.0]	[]	Calculated AJ	
Rh	111	CH2CO	-2.68	[12.0, 142.0, 169.0, 291.0, 350.0, 435.0, 565.0, 621.0, 871.0, 930.0, 1035.0, 1295.0, 1674.0, 2998.0, 3071.0]	[]	Calculated AJ	
Rh	111	CHOH	-1.06	[12.0, 144.0, 202.0, 314.0, 367.0, 569.0, 761.0, 1044.0, 1203.0, 1426.0, 2983.0, 3650.0]	[]	Calculated AJ	
Rh	111	CH2	-1.62	[12.0, 306.0, 382.0, 468.0, 663.0, 790.0, 1356.0, 2737.0, 3004.0]	[]	Calculated AJ	
Rh	111	O	0.57	[]	[]	Calculated AJ	
Rh	111	CH3	-2.16	[12.0, 114.0, 168.0, 622.0, 686.0, 703.0, 1382.0, 1417.0, 1576.0, 3026.0, 3093.0, 3099.0]	[]	Calculated AJ	
