surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
None	gas	CH3CH2OH	1.89	None	[3653,2984,2939,2900,1490,1464,1412,1371,1256,1091,1028,888,417,2991,2910,1446,1275,1161,812]	[]	NIST
None	gas	CH4	0	None	[2917,1534,1534,3019,3019,3019,1306,1306,1306]	[]	NIST
None	gas	H2	0	None	[4401]	[]	NIST
None	gas	H2O	0	None	[3657,1595,3756]	[]	NIST
None	gas	CH3OH	1.31	None	[3681,3000,2844,1477,1455,1345,1060,1033,2960,1477,1165,200]	[]	NIST
None	gas	CO	2.77	None	[2170]	[]	NIST
None	gas	CO2	2.42	None	[125.2, 138.1, 650.1, 650.4, 1336.5, 2363.7]	[]	JSY
None	gas	HCOOH	1.890	None	[88.7, 124.5, 200.3, 625.1, 684.9, 1019.5, 1087.8, 1278.6, 1381.8, 1767.3, 3024.5, 3653.7]	[]	JSY
CuCo	211	C	2.04	fcc	[]	[]	Ang
Ag	211	C	5.071	fcc	[]	[]	Methanation
Cu	211	C	3.542	fcc	[267, 563, 576]	[]	Methanation
Cu+K	211	C	3.442	fcc	[]	[]	Methanation
Pd	211	C	1.505	fcc	[]	[]	Methanation
Pt	211	C	2.100	fcc	[]	[]	Methanation
Rh	211	C	1.380	fcc	[]	[]	Methanation
Au	211	C	4.774	fcc	[]	[]	Methanation
Ni	211	C	1.517	fcc	[]	[]	Methanation
Ir	211	C	1.573	fcc	[]	[]	Methanation
Ru	211	C	1.2279	fcc	[]	[]	Methanation
CuCo	211	CO	1.56	fcc	[]	[]	Ang
Ag	211	CO	2.842	fcc	[]	[]	Methanation
Cu	211	CO	2.250	fcc	[44,144,208,260,280,2004]	[]	Methanation
Pd	211	CO	1.193	fcc	[]	[]	Methanation
Pt	211	CO	1.081	fcc	[]	[]	Methanation
Rh	211	CO	1.042	fcc	[]	[]	Methanation
Au	211	CO	2.545	fcc	[]	[]	Methanation
Ni	211	CO	1.223	fcc	[]	[]	Methanation
Ir	211	CO	0.641	fcc	[]	[]	Methanation
Ru	211	CO	0.952	fcc	[]	[]	Methanation
Ag	211	CH	3.96	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Re	211	CH	0.06	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Mn	211	CH	0.36	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ru	211	CH	0.71	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Rh	211	CH	1.01	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Co	211	CH	1.16	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pt	211	CH	1.19	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pd	211	CH	1.57	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Cu	211	CH	2.7	fcc	[354, 386, 410, 632, 668, 2987]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Au	211	CH	3.43	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ir	211	CH	0.685	fcc	[]	[]	Phys. Rev. Lett. 99, 016105 (2007)"
Ni	211	CH	1.215	fcc	[]	[]	Phys. Rev. Lett. 99, 016105 (2007)"
Re	211	CH2	0.21	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Mn	211	CH2	0.49	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ru	211	CH2	0.69	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pt	211	CH2	0.76	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Rh	211	CH2	0.76	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Co	211	CH2	0.79	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ni	211	CH2	1.14	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pd	211	CH2	1.28	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Cu	211	CH2	2.22	fcc	[148,209,396,431,451,672,1296,2976,3030]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Au	211	CH2	2.23	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ag	211	CH2	2.87	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ir	211	CH2	0.359	fcc	[]	[]	Phys. Rev. Lett. 99, 016105 (2007)"
Re	211	CH3	-0.13	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Mn	211	CH3	0.02	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Co	211	CH3	0.04	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ru	211	CH3	0.06	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Rh	211	CH3	0.36	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ni	211	CH3	0.39	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pt	211	CH3	0.46	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pd	211	CH3	0.79	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Cu	211	CH3	0.97	fcc	[124, 147, 210, 375, 491, 649, 1146, 1380, 1396, 2940, 2986, 3103]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Au	211	CH3	1.1	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ir	211	CH3	0.109	fcc	[]	[]	Phys. Rev. Lett. 99, 016105 (2007)"
CuCo	211	O	-0.01	fcc	[]	[]	Ang
Ag	211	O	1.88	fcc	[]	[]	Methanation
Cu	211	O	0.987	fcc	[310,398,437]	[]	Methanation
Cu+K	211	O	0.687	fcc	[]	[]	Methanation
Pd	211	O	1.503	fcc	[]	[]	Methanation
Pt	211	O	1.265	fcc	[]	[]	Methanation
Rh	211	O	0.162	fcc	[]	[]	Methanation
Au	211	O	2.604	fcc	[]	[]	Methanation
Ni	211	O	0.13	fcc	[]	[]	Methanation
Ir	211	O	-0.109	fcc	[]	[]	Methanation
Ru	211	O	-0.101	fcc	[]	[]	Methanation
CuCo	211	OH	-0.43	fcc	[]	[]	Ang
Ir	211	OH	-0.354	fcc	[]	[]	Phys. Rev. Lett. 99, 016105 (2007)"
Re	211	OH	-1.364	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Mn	211	OH	-1.277	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Fe	211	OH	-1.12	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ru	211	OH	-0.688	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Co	211	OH	-0.641	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ni	211	OH	-0.496	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ir	211	OH	-0.396	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Rh	211	OH	-0.365	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Cu	211	OH	-0.038	fcc	[73,296,379,497,664,3843]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pd	211	OH	0.343	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pt	211	OH	0.362	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ag	211	OH	0.492	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Au	211	OH	0.939	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ir	211	H	-0.704	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Re	211	H	-0.686	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Mn	211	H	-0.666	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Fe	211	H	-0.596	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ru	211	H	-0.532	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pt	211	H	-0.5	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Rh	211	H	-0.492	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pd	211	H	-0.45	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ni	211	H	-0.425	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Cu	211	H	-0.059	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ag	211	H	0.277	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Au	211	H	0.1	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)

Ag	211	HCO	3.214	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Cu	211	HCO	2.754	fcc	[2805, 1661, 1197, 591, 370, 152, 184, 84, 49]	[]	J. Catal. 293, 51-60 (2012)
Pd	211	HCO	1.843	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Pt	211	HCO	1.786	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Rh	211	HCO	1.825	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Au	211	HCO	2.883	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Cu	211	CH2O	2.351	fcc	[2923, 3017, 1484, 1340, 1151, 873, 408, 289, 205, 100, 54, 46]	[]	J. Catal. 293, 51-60 (2012)
Pd	211	CH2O	1.919	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Pt	211	CH2O	1.768	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Rh	211	CH2O	1.434	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Ag	211	CH3O	1.891	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Cu	211	CH3O	1.341	fcc	[2955, 3013, 3036, 1443, 1437, 1416, 1130, 1117, 1030, 326, 294, 300, 130, 114, 35]	[]	J. Catal. 293, 51-60 (2012)
Pd	211	CH3O	1.715	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Pt	211	CH3O	1.535	fcc	[]	[]	J. Catal. 293, 51-60 (2012)
Rh	211	CH3O	1.04	fcc	[]	[]	J. Catal. 293, 51-60 (2012)

Re	211	H-C	1.28	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Mn	211	H-C	1.32	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ru	211	H-C	1.74	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Rh	211	H-C	1.97	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Co	211	H-C	2.18	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pd	211	H-C	2.25	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Pt	211	H-C	3.06	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Cu	211	H-C	4.31	fcc	[227.6,496.4,527.6,812.8,1127.5]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Au	211	H-C	5.78	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
Ag	211	H-C	5.99	fcc	[]	[]	Phys. Chem. Chem. Phys., 13, 20760, (2011)
