surface_name	site_name	species_name	formation_energy	frequencies	reference	ensemble_path
None	gas	ele	0.0	[]	gas phase calcs	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/ele.pkl
None	gas	H	0.0	[]	gas phase calcs	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/H.pkl
None	gas	CH4	-2.526948129	[51.8, 65.8, 75.6, 1329.3, 1329.6, 1331.7, 1547.3, 1548.3, 2992.3, 3118.4, 3118.9, 3119.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/CH4.pkl
None	gas	H2	0.0	[0.3, 0.8, 4450.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/H2.pkl
None	gas	H2O	0.0	[211.4, 250.4, 1634.7, 3753.1, 3849.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/H2O.pkl
None	gas	CO	0.0	[6.2, 14.3, 2157.1]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/CO.pkl
None	gas	O2	0.0	[]	Dummy ads for barrier scaling	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Au	111	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Ag	111	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Cu	111	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Pd	111	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Pt	111	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Rh	111	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Ni	111	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Au	211	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Ag	211	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Cu	211	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Pd	211	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Pt	211	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Rh	211	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Ni	211	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Cu	100	O2	9.0	[]	Fake ads	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/molecules/O2.pkl
Au	111	CH	0.95180944	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/CH.pkl
Au	111	CH2	0.15152042	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/CH2.pkl
Au	111	CH2-H	0.8857167	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Au/CH2-H.pkl
Au	111	CH3	-1.2578668	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/CH3.pkl
Au	111	CH3-H	-0.19168392	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Au/CH3-H.pkl
Au	111	CHO	0.01599318	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/CHO.pkl
Au	111	CHOH	0.73447566	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/CHOH.pkl
Au	111	CO	-0.005571	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/CO.pkl
Au	111	CO-H-ele	1.384429	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Au/CO-H-ele.pkl
Au	111	COH	1.28863488	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/COH.pkl
Au	111	COH-H-ele	2.78863488	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Au/H-CO-ele.pkl
Au	111	H	0.57943288	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/H.pkl
Au	111	H-CO-ele	0.974429	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Au/H-CO-ele.pkl
Au	111	OH	0.84112782	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Au/OH.pkl
Au	211	CH	0.80116014	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/CH.pkl
Au	211	CH2	-0.41791428	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/CH2.pkl
Au	211	CH3	-1.4494358	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/CH3.pkl
Au	211	CHO	-0.16642952	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/CHO.pkl
Au	211	CHOH	0.01191476	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/CHOH.pkl
Au	211	CO	-0.3042426	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/CO.pkl
Au	211	CO-H-ele	1.8257574	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Au/CO-H-ele.pkl
Au	211	COH	0.94597338	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/COH.pkl
Au	211	COH-H-ele	1.89597338	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Au/H-CO-ele.pkl
Au	211	H	0.29716958	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/H.pkl
Au	211	H-CO-ele	0.6457574	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Au/H-CO-ele.pkl
Au	211	H-H	1.17433916	[129.1, 218.3, 426.7, 4083.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Au/H-H.pkl
Au	211	H2-ele	0.94716958	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Au/H2-ele.pkl
Au	211	OH	0.36806952	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Au/OH.pkl
Ag	111	CH	1.82475744	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/CH.pkl
Ag	111	CH-H	2.65312562	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/CH-H.pkl
Ag	111	CH2	0.67287372	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/CH2.pkl
Ag	111	CH2-H	1.480882	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/CH2-H.pkl
Ag	111	CH3	-0.9370837	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/CH3.pkl
Ag	111	CH3-H	0.08832638	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/CH3-H.pkl
Ag	111	CHO	0.40103818	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/CHO.pkl
Ag	111	CHOH	1.18029736	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/CHOH.pkl
Ag	111	CO	-0.07934	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/CO.pkl
Ag	111	CO-H	2.93757958	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/CO-H.pkl
Ag	111	CO-H-ele	1.13066	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/CO-H-ele.pkl
Ag	111	COH	2.06202568	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/COH.pkl
Ag	111	H	0.54971308	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Ag/H.pkl
Ag	111	H-CO	1.15611138	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/H-CO.pkl
Ag	111	H-CO-ele	0.97066	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/H-CO-ele.pkl
Ag	111	H-H	1.60942616	[129.1, 218.3, 426.7, 4083.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/H-H.pkl
Ag	111	H-ele	1.19	[902.6, 1205.4, 1784.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Ag/H-ele.pkl
